,Attempt,. | t,t | i,i | e,e | 5,5 | Key.shift,Key.shift | R,R | o,o | a,a | n,n | l,l | Key.enter
1,1.0,0.2646329402923584,0.2680346965789795,0.6148669719696045,0.8449051380157471,0.4990229606628418,0.25980186462402344,0.31597208976745605,0.24901485443115234,0.271014928817749,0.2869069576263428,0.34792399406433105
2,2.0,0.4682621955871582,0.34693360328674316,0.2733728885650635,0.3898658752441406,0.43080806732177734,0.2199559211730957,0.31101202964782715,0.25318288803100586,0.2658839225769043,0.4038550853729248,0.3120551109313965
3,3.0,0.6279087066650391,0.2570230960845947,0.3040950298309326,0.5288841724395752,0.45504188537597656,0.23202013969421387,0.33304286003112793,0.2978839874267578,0.28340816497802734,0.344998836517334,0.5244190692901611
4,4.0,0.3458428382873535,0.4439852237701416,0.24129891395568848,0.4100499153137207,0.45002293586730957,0.2239840030670166,0.29814910888671875,0.2849700450897217,0.26772093772888184,0.48502016067504883,0.3538331985473633
5,5.0,0.3428611755371094,0.5112359523773193,0.2270207405090332,0.5190660953521729,0.4797170162200928,0.25574779510498047,0.34104204177856445,0.31304073333740234,0.26594996452331543,0.41002511978149414,0.3290119171142578
6,6.0,0.3968808650970459,0.3230018615722656,0.2341322898864746,0.3664731979370117,0.4579758644104004,0.25182175636291504,0.4669361114501953,0.30307793617248535,0.30686092376708984,0.44915008544921875,0.29886484146118164
7,7.0,0.32959794998168945,0.28505873680114746,0.2221522331237793,0.3921530246734619,0.49683308601379395,0.2519187927246094,0.2820150852203369,0.3289659023284912,0.27092719078063965,0.3110229969024658,0.5300281047821045
8,8.0,0.3158257007598877,0.34600234031677246,0.2250659465789795,0.33928799629211426,0.49992918968200684,0.2719132900238037,0.4060690402984619,0.2669968605041504,0.2540431022644043,0.3780958652496338,0.32186388969421387
9,9.0,0.35565686225891113,0.3172440528869629,0.21787381172180176,0.42601799964904785,0.5048599243164062,0.24787139892578125,0.33108091354370117,0.27492785453796387,0.2569127082824707,0.4270138740539551,0.33693885803222656
10,10.0,0.8977460861206055,0.24195384979248047,0.24906706809997559,0.3428621292114258,0.5617780685424805,0.3317570686340332,0.4558887481689453,0.34314870834350586,0.26914310455322266,0.41309118270874023,0.29290771484375
11,11.0,0.34195518493652344,0.32401609420776367,0.22595667839050293,0.39093017578125,0.6089210510253906,0.3079402446746826,0.36903905868530273,0.24822306632995605,0.25313258171081543,0.35500192642211914,0.3508458137512207
12,12.0,0.3318300247192383,0.3959972858428955,0.23682498931884766,0.39414095878601074,0.7219347953796387,0.260113000869751,0.38214898109436035,0.2508971691131592,0.2890028953552246,0.2730569839477539,0.45385289192199707
13,13.0,0.7009000778198242,0.22886228561401367,0.25498509407043457,0.40397000312805176,0.4848308563232422,0.2599148750305176,0.37778615951538086,0.2568659782409668,0.26993584632873535,0.4320518970489502,0.2918550968170166
14,14.0,0.35576796531677246,0.31589198112487793,0.2309267520904541,0.3450431823730469,0.4799952507019043,0.2439422607421875,0.34204745292663574,0.28489112854003906,0.28113794326782227,0.3881657123565674,0.3459901809692383
15,15.0,0.3377406597137451,0.27483606338500977,0.2018449306488037,0.3629319667816162,0.48506689071655273,0.27193713188171387,0.2967970371246338,0.3020632266998291,0.28804779052734375,0.40286898612976074,0.3248100280761719
