,Attempt,. | t,t | i,i | e,e | 5,5 | Key.shift,Key.shift | R,R | o,o | a,a | n,n | l,l | Key.enter
1,1.0,0.2968757152557373,0.2812685966491699,0.2187488079071045,0.3281974792480469,0.6093564033508301,0.17187738418579102,0.39093780517578125,0.218733549118042,0.24999165534973145,0.3282022476196289,0.3281254768371582
2,2.0,0.3906252384185791,0.26555848121643066,0.2031254768371582,0.31279993057250977,0.5784251689910889,0.1562645435333252,0.4062943458557129,0.20310735702514648,0.25,0.32813072204589844,0.3281111717224121
3,3.0,0.34413814544677734,0.24999690055847168,0.2031412124633789,0.312497615814209,0.546898365020752,0.1718595027923584,0.39064741134643555,0.21875882148742676,0.25000882148742676,0.3593716621398926,0.328641414642334
4,4.0,0.3280479907989502,0.265608549118042,0.234375,0.2969040870666504,0.6249232292175293,0.17186617851257324,0.43783020973205566,0.21915555000305176,0.2499527931213379,0.34376072883605957,0.31242942810058594
5,5.0,0.29688382148742676,0.29688382148742676,0.2031264305114746,0.3124690055847168,0.5784809589385986,0.1406247615814209,0.4218747615814209,0.2499995231628418,0.24997925758361816,0.32831645011901855,0.3281590938568115
6,6.0,0.3124849796295166,0.2656252384185791,0.2344517707824707,0.3125021457672119,0.6096408367156982,0.17188596725463867,0.4066050052642822,0.2657022476196289,0.26564574241638184,0.3437538146972656,0.3281569480895996
7,7.0,0.2812318801879883,0.265653133392334,0.20312261581420898,0.31289100646972656,0.609379768371582,0.1875298023223877,0.43750882148742676,0.2500174045562744,0.23436903953552246,0.34380602836608887,0.31255435943603516
8,8.0,0.3129892349243164,0.296802282333374,0.21874141693115234,0.2969505786895752,0.6718840599060059,0.17188334465026855,0.45314931869506836,0.2812337875366211,0.25,0.3597548007965088,0.374988317489624
9,9.0,0.2812507152557373,0.28124046325683594,0.23441696166992188,0.3125114440917969,0.6723504066467285,0.17235112190246582,0.4379754066467285,0.28124165534973145,0.25000858306884766,0.3438270092010498,0.3437502384185791
10,10.0,0.37508606910705566,0.2661168575286865,0.23477458953857422,0.3125159740447998,0.7656166553497314,0.1874401569366455,0.4375643730163574,1.2503681182861328,0.34377455711364746,0.3281421661376953,0.2969322204589844
11,11.0,0.35936927795410156,0.265625,0.25043749809265137,0.3133280277252197,0.607537031173706,0.18749094009399414,0.4375007152557373,0.2500007152557373,0.4375593662261963,0.3280966281890869,0.3287479877471924
12,12.0,0.3437502384185791,0.29688358306884766,0.2815990447998047,0.29723215103149414,0.6562502384185791,0.17188382148742676,0.4218747615814209,0.31250929832458496,0.24996089935302734,0.343825101852417,0.2968940734863281
13,13.0,0.2812488079071045,0.3124814033508301,0.21875,0.29688382148742676,0.5781056880950928,0.17188453674316406,0.39064478874206543,0.2187497615814209,0.23501133918762207,0.3438296318054199,0.3125004768371582
14,14.0,0.2656257152557373,0.28125,0.23438358306884766,0.29686617851257324,0.5318913459777832,0.1725599765777588,0.37567639350891113,0.20313525199890137,0.25008153915405273,0.31246495246887207,0.31250810623168945
15,15.0,0.2968752384185791,0.28163933753967285,0.18741703033447266,0.2968928813934326,0.5783450603485107,0.18761301040649414,0.3908364772796631,0.21871352195739746,0.25,0.3124997615814209,0.3124814033508301
