,Attempt,. | i,t | e,i | 5,e | Key.shift,5 | R,Key.shift | o,R | a,o | n,a | l,n | Key.enter
1,1.0,0.44861793518066406,0.7910008430480957,1.3597729206085205,1.2599561214447021,0.5668609142303467,0.45996999740600586,0.5009489059448242,0.4199678897857666,0.49001407623291016,0.5668258666992188
2,2.0,0.7107388973236084,0.5282838344573975,0.5550088882446289,0.7448358535766602,0.4829590320587158,0.41892290115356445,0.4960010051727295,0.40309882164001465,0.5978140830993652,0.6438970565795898
3,3.0,0.7969338893890381,0.48908400535583496,0.7288391590118408,0.9040369987487793,0.5190620422363281,0.45304298400878906,0.5428469181060791,0.47742700576782227,0.5239911079406738,0.7813029289245605
4,4.0,0.7058470249176025,0.6089489459991455,0.5433070659637451,0.7919919490814209,0.5060429573059082,0.4059910774230957,0.5071790218353271,0.4407169818878174,0.6689000129699707,0.7549183368682861
5,5.0,0.7738769054412842,0.6582379341125488,0.6419928073883057,0.9268171787261963,0.5396838188171387,0.47698497772216797,0.5740559101104736,0.47098374366760254,0.6079800128936768,0.6669449806213379
6,6.0,0.643826961517334,0.4849698543548584,0.4851393699645996,0.7525029182434082,0.5297927856445312,0.5909550189971924,0.6899158954620361,0.489901065826416,0.6919469833374023,0.6960999965667725
7,7.0,0.5347497463226318,0.4390411376953125,0.4982180595397949,0.8169810771942139,0.5449018478393555,0.4099080562591553,0.5309789180755615,0.4598710536956787,0.5100021362304688,0.7969970703125
8,8.0,0.573760986328125,0.5030152797698975,0.444138765335083,0.7631120681762695,0.5518803596496582,0.546044111251831,0.596919059753418,0.4091179370880127,0.5679879188537598,0.6359448432922363
9,9.0,0.580894947052002,0.4751248359680176,0.5279941558837891,0.8509387969970703,0.5528781414031982,0.4389021396636963,0.5300159454345703,0.419940710067749,0.6079297065734863,0.695897102355957
10,10.0,1.0637600421905518,0.40698790550231934,0.49201321601867676,0.8326029777526855,0.6057789325714111,0.6238870620727539,0.7189357280731201,0.49216389656066895,0.6141271591186523,0.6340029239654541
11,11.0,0.5738379955291748,0.47393202781677246,0.5010349750518799,0.9278590679168701,0.6369411945343018,0.5289640426635742,0.5449931621551514,0.4012317657470703,0.5360977649688721,0.6299419403076172
12,12.0,0.639807939529419,0.5648071765899658,0.5230159759521484,1.0440378189086914,0.7780048847198486,0.5350470542907715,0.5731139183044434,0.42792606353759766,0.5100409984588623,0.6589350700378418
13,13.0,0.8458402156829834,0.4038851261138916,0.5349891185760498,0.8128669261932373,0.5408577919006348,0.5298950672149658,0.5666611194610596,0.4189786911010742,0.6339330673217773,0.6519579887390137
14,14.0,0.5918660163879395,0.47064781188964844,0.47197890281677246,0.7530663013458252,0.5280251502990723,0.4900023937225342,0.546971321105957,0.44588208198547363,0.5972018241882324,0.6620578765869141
15,15.0,0.5287299156188965,0.4167349338531494,0.4608650207519531,0.7689368724822998,0.5531260967254639,0.4447510242462158,0.526900053024292,0.4580810070037842,0.6030299663543701,0.6517069339752197
