,Attempt,. | i,t | e,i | 5,e | Key.shift,5 | R,Key.shift | o,R | a,o | n,a | l,n | Key.enter
1,1.0,0.4687495231628418,0.4218766689300537,0.4843871593475342,0.8594326972961426,0.546877384185791,0.5002944469451904,0.5315465927124023,0.3906252384185791,0.49999141693115234,0.5782022476196289
2,2.0,0.5468087196350098,0.3906252384185791,0.43779993057250977,0.8127999305725098,0.5159411430358887,0.4843900203704834,0.5312767028808594,0.375,0.5000083446502686,0.5624754428863525
3,3.0,0.48476576805114746,0.3906412124633789,0.42186927795410156,0.7812623977661133,0.4843895435333252,0.5000004768371582,0.5468902587890625,0.39063382148742676,0.4999382495880127,0.6098933219909668
4,4.0,0.5156080722808838,0.4062502384185791,0.4531245231628418,0.8593273162841797,0.53125,0.531571626663208,0.56290602684021,0.37535691261291504,0.5156261920928955,0.5780572891235352
5,5.0,0.5000059604644775,0.4218766689300537,0.4374699592590332,0.812863826751709,0.5003559589385986,0.4843747615814209,0.5937585830688477,0.3905949592590332,0.5001916885375977,0.5626909732818604
6,6.0,0.48436927795410156,0.42188143730163574,0.45320868492126465,0.8283860683441162,0.515629768371582,0.5003516674041748,0.5784800052642822,0.4375772476196289,0.5312535762786865,0.5781574249267578
7,7.0,0.45313382148742676,0.3906426429748535,0.4534945487976074,0.844132661819458,0.5156538486480713,0.5312643051147461,0.5937659740447998,0.4062540531158447,0.5000488758087158,0.5624942779541016
8,8.0,0.5160412788391113,0.4375004768371582,0.43749237060546875,0.9063332080841064,0.5468840599060059,0.5468745231628418,0.6406004428863525,0.4375331401824951,0.5316290855407715,0.6253807544708252
9,9.0,0.484375,0.43749070167541504,0.46880316734313965,0.9223513603210449,0.5317254066467285,0.5317263603210449,0.6411001682281494,0.46875,0.5,0.6094608306884766
10,10.0,0.5473668575286865,0.4067354202270508,0.4535377025604248,1.0156409740447998,0.5468075275421143,0.5468828678131104,1.6098170280456543,1.5160064697265625,0.5937745571136475,0.5468766689300537
11,11.0,0.53125,0.42231225967407227,0.4857063293457031,0.8445866107940674,0.5294034481048584,0.5468747615814209,0.6093759536743164,0.593742847442627,0.6875672340393066,0.5630943775177002
12,12.0,0.5312588214874268,0.48473215103149414,0.5003492832183838,0.8753662109375,0.546875,0.5312502384185791,0.6562583446502686,0.46871113777160645,0.5000004768371582,0.5625748634338379
13,13.0,0.49999213218688965,0.43747949600219727,0.4531540870666504,0.7812392711639404,0.5312306880950928,0.4844043254852295,0.531240701675415,0.3756446838378906,0.48505115509033203,0.5625884532928467
14,14.0,0.45313405990600586,0.4374997615814209,0.453125,0.7506418228149414,0.5006759166717529,0.4694352149963379,0.5006780624389648,0.37500882148742676,0.4844212532043457,0.5468666553497314
15,15.0,0.5003621578216553,0.3909492492675781,0.4218747615814209,0.812720775604248,0.5313806533813477,0.5002026557922363,0.5314164161682129,0.39063334465026855,0.4843752384185791,0.546856164932251
