attempt,'.'-'i','t'-'e','i'-'5','e'-key.shift,'5'-'r',key.shift-'o','r'-'a','o'-'n','a'-'l','n'-key.enter
1,0.5101611614227295,0.4673879146575928,0.570277214050293,0.8272032737731934,0.5413849353790283,0.23917078971862793,0.3069896697998047,0.35610389709472656,0.43161487579345703,0.4792191982269287
2,0.41718482971191406,0.4084789752960205,0.47528719902038574,0.7332000732421875,0.4903528690338135,0.24147510528564453,0.27812695503234863,0.3085477352142334,0.39051294326782227,0.4374518394470215
3,0.3711271286010742,0.38714170455932617,0.4293839931488037,0.7008559703826904,0.46103501319885254,0.2178502082824707,0.25427937507629395,0.3013038635253906,0.3749518394470215,0.4431319236755371
4,0.33984994888305664,0.4556100368499756,0.5239958763122559,0.6758530139923096,0.4668729305267334,0.21825194358825684,0.30034470558166504,0.31773900985717773,0.3506779670715332,0.41370701789855957
5,0.37319278717041016,0.371628999710083,0.4388589859008789,0.715224027633667,0.4718451499938965,0.23733997344970703,0.28710198402404785,0.31513190269470215,1.488520860671997,1.5141680240631104
6,0.35367417335510254,0.41036224365234375,0.4981057643890381,0.668673038482666,0.4440441131591797,0.23092317581176758,0.2811908721923828,0.3221440315246582,0.336179256439209,0.42322778701782227
7,0.4630253314971924,0.43641090393066406,0.39519810676574707,0.6303329467773438,0.4180641174316406,0.20176219940185547,0.2861440181732178,0.3184628486633301,0.24616479873657227,0.41630005836486816
8,0.3904101848602295,0.38452887535095215,0.4557178020477295,0.5919721126556396,0.39167189598083496,0.2149181365966797,0.28691601753234863,0.329941987991333,0.40981292724609375,0.4483520984649658
9,0.40700483322143555,0.3852269649505615,0.44516515731811523,0.6345667839050293,0.42169904708862305,0.2044820785522461,0.2823972702026367,0.322742223739624,0.254497766494751,0.4503517150878906
10,0.368654727935791,0.3971071243286133,0.46547913551330566,0.6859498023986816,0.4568319320678711,0.2202761173248291,0.28711414337158203,0.3390820026397705,0.24824786186218262,0.42977309226989746
11,0.38222527503967285,0.41731882095336914,0.4927549362182617,0.647456169128418,0.4285008907318115,0.20847320556640625,0.2631800174713135,0.3355131149291992,0.27588701248168945,0.43941307067871094
12,0.38275599479675293,0.3915579319000244,0.461381196975708,0.6788952350616455,0.44823408126831055,0.23392701148986816,0.3051168918609619,0.34352779388427734,0.26503801345825195,0.4360373020172119
13,0.37366485595703125,0.41776585578918457,0.4954378604888916,0.6792688369750977,0.452678918838501,0.22962403297424316,0.30066585540771484,0.372769832611084,0.42446327209472656,0.49329113960266113
14,0.41945600509643555,0.40501904487609863,0.4411449432373047,0.6881580352783203,0.45345282554626465,0.23620009422302246,0.2724306583404541,0.3282809257507324,0.4082322120666504,0.4705820083618164
15,0.39030981063842773,0.39623594284057617,0.48023509979248047,0.6987981796264648,0.47003912925720215,0.22195816040039062,0.28804922103881836,0.34247708320617676,0.38730406761169434,0.43849921226501465
16,0.33820414543151855,0.3576481342315674,0.40537285804748535,0.6417491436004639,0.41614198684692383,0.20039796829223633,0.2528820037841797,0.2770199775695801,0.19612884521484375,0.3143119812011719
17,0.3744320869445801,0.3890860080718994,0.42055511474609375,0.7112269401550293,0.48587703704833984,0.19226789474487305,0.2730891704559326,0.27670884132385254,0.20024681091308594,0.3006010055541992
18,0.35755205154418945,0.33350205421447754,0.406574010848999,0.6460330486297607,0.42560410499572754,0.20087027549743652,0.24622631072998047,0.28192996978759766,0.18753409385681152,0.3236429691314697
19,0.389815092086792,0.4169332981109619,0.4338529109954834,0.6463329792022705,0.4231269359588623,0.1998281478881836,0.2596762180328369,0.2765209674835205,0.1877901554107666,0.24091315269470215
20,0.33746790885925293,0.3329911231994629,0.4011349678039551,0.5842087268829346,0.39695000648498535,0.21397995948791504,0.26862597465515137,0.2787892818450928,0.16849589347839355,0.24921488761901855
21,0.3514840602874756,0.3545408248901367,0.42299604415893555,0.6356620788574219,0.4331669807434082,0.19156408309936523,0.2227780818939209,0.266768217086792,0.16380095481872559,0.25823283195495605
22,0.3417341709136963,0.3475220203399658,0.4050939083099365,0.5983128547668457,0.39525699615478516,0.23091483116149902,0.2550468444824219,0.27242183685302734,0.8522708415985107,0.9350647926330566
23,0.36261606216430664,0.3547022342681885,0.41190028190612793,0.6522891521453857,0.4327230453491211,0.26300883293151855,0.26750993728637695,0.3116130828857422,0.23997282981872559,0.34619808197021484
24,0.3793778419494629,0.36150193214416504,0.4335799217224121,0.6549732685089111,0.4103999137878418,0.20025134086608887,0.2809131145477295,0.2972118854522705,0.22708415985107422,0.32623887062072754
25,0.3652329444885254,0.35033178329467773,0.395172119140625,0.6318159103393555,0.4207470417022705,0.22095084190368652,0.2613191604614258,0.30145692825317383,0.2110300064086914,0.3405032157897949
26,0.3626730442047119,0.3524298667907715,0.40530824661254883,0.6179499626159668,0.41851806640625,0.30745720863342285,0.3479642868041992,0.32119297981262207,0.3511061668395996,0.371319055557251
27,0.34565210342407227,0.3469266891479492,0.4185810089111328,0.621920108795166,0.40317702293395996,0.2126178741455078,0.2291722297668457,0.28496313095092773,0.19991493225097656,0.31185007095336914
28,0.36051011085510254,0.34807491302490234,0.40527796745300293,0.6028759479522705,0.3901801109313965,0.24282383918762207,0.250805139541626,0.20101380348205566,0.2902259826660156,0.2940077781677246
29,0.369124174118042,0.35045695304870605,0.43786025047302246,0.6800518035888672,0.44950199127197266,0.2838709354400635,0.2841300964355469,0.30200982093811035,0.37636613845825195,0.4102458953857422
30,0.37046384811401367,0.36719489097595215,0.44815993309020996,0.6587080955505371,0.4171581268310547,0.2903439998626709,0.2664618492126465,0.250978946685791,0.405811071395874,0.4094581604003906
