,. | t,t | i,i | e,e | 5,5 | Key.shift,Key.shift | R,R | o,o | a,a | n,n | l,l | Key.enter
0,0.5365040302276611,0.2277071475982666,0.2084188461303711,0.325779914855957,0.6681277751922607,0.39776372909545893,0.38515305519104004,0.19021582603454587,0.21721386909484863,0.27493810653686523,0.3104879856109619
1,0.4177980422973633,0.17363595962524414,0.23706793785095215,0.31342887878417963,0.6298947334289552,0.4128749370574951,0.22986912727355957,0.21616315841674805,0.18663692474365234,0.2526657581329346,0.31402015686035156
2,0.3503146171569824,0.19418573379516602,0.19606423377990723,0.344825267791748,0.6270151138305664,0.3905680179595947,0.21344399452209473,0.20513176918029785,0.18204092979431152,0.24636077880859375,0.29465579986572266
3,0.3923788070678711,0.19373393058776855,0.20793867111206055,0.3548240661621094,0.6335752010345459,0.3995332717895508,0.26334214210510254,0.19254016876220703,0.18647575378417966,0.2648756504058838,0.3047170639038086
4,0.38418006896972656,0.18592643737792966,0.22568917274475098,0.3663980960845947,0.5623342990875244,0.3586440086364746,0.23409485816955566,0.19827008247375488,0.17391586303710938,0.25824975967407227,0.3119337558746338
5,0.36692285537719727,0.18843412399291995,0.21440482139587405,0.3106708526611328,0.6503119468688965,0.391124963760376,0.22881197929382324,0.20097112655639648,0.176469087600708,0.24946069717407227,0.3072197437286377
6,0.37631440162658697,0.18834829330444333,0.21061182022094727,0.31299805641174316,0.6042113304138184,0.3724331855773926,0.22212791442871094,0.20693373680114746,0.17488598823547363,0.2575891017913819,0.31148219108581543
7,0.3491361141204834,0.18484973907470703,0.21402478218078613,0.30138468742370605,0.686347484588623,0.4145638942718506,0.2507631778717041,0.22698187828063965,0.19907379150390625,0.26059794425964355,0.45857000350952154
8,0.4672758579254151,0.21569132804870605,0.2036590576171875,0.3025658130645752,0.679584264755249,0.41374707221984863,0.277789831161499,0.21773076057434082,0.18850469589233398,0.27376794815063477,0.31394314765930176
9,0.3211750984191895,0.19591474533081052,0.21358680725097656,0.31206274032592773,0.6570663452148438,0.4034912586212158,0.25470709800720215,0.20802092552185059,0.1992018222808838,0.26824402809143066,0.32089996337890625
10,0.3593318462371826,0.19543671607971191,0.19489502906799316,0.3068892955780029,0.5950734615325928,0.3776562213897705,0.25836610794067383,0.21820497512817383,0.17496490478515625,0.2559621334075928,0.2993178367614746
11,0.3699209690093994,0.1927509307861328,0.20310711860656738,0.2848482131958008,0.600959300994873,0.38387489318847656,0.28895497322082525,0.21397995948791507,0.17681789398193357,0.2718799114227295,0.3245546817779541
12,0.3666999340057373,0.22302889823913574,0.17440295219421384,0.28723788261413574,0.6057679653167725,0.37951111793518066,0.2701690196990967,0.20137310028076172,0.17008590698242188,0.26298975944519043,0.3089308738708496
13,0.36981105804443365,0.1781249046325684,0.20648169517517093,0.30505895614624023,1.7920451164245605,0.9903509616851807,0.24250388145446777,0.18646693229675293,0.17158913612365723,0.25449490547180176,0.28552818298339844
14,0.3342101573944092,0.18248891830444336,0.1994953155517578,0.3052351474761963,0.6392021179199219,0.402050256729126,0.298816204071045,0.18345975875854492,0.17694878578186035,0.26581907272338867,0.35623979568481445
15,0.3493180274963379,0.22924900054931638,0.2052781581878662,0.3340158462524414,0.6457676887512207,0.3938100337982178,0.2230517864227295,0.17474007606506348,0.2158370018005371,0.2503981590270996,0.32319092750549316
16,0.31493687629699707,0.18169260025024414,0.2523801326751709,0.3452780246734619,0.6146197319030762,0.411679744720459,0.21392107009887693,0.20636701583862305,0.2045891284942627,0.272205114364624,0.30791378021240234
17,0.36411380767822266,0.19286370277404785,0.20983004570007324,0.31252598762512207,0.6400566101074219,0.37655401229858393,0.2647531032562256,0.1929621696472168,0.2139782905578613,0.26934123039245605,0.298854112625122
18,0.3761732578277588,0.22387099266052246,0.20824694633483887,0.301393985748291,0.675757884979248,0.413424015045166,0.2674999237060547,0.17638182640075684,0.2060708999633789,0.27483582496643066,0.2931239604949951
19,0.3674159049987793,0.21105194091796878,0.19972801208496094,0.3054351806640625,0.6958367824554443,0.40931892395019537,0.24773073196411133,0.19916582107543945,0.20047116279602048,0.27384328842163086,0.306232213973999
20,0.305706262588501,0.19805598258972168,0.22040891647338867,0.32100987434387207,0.6258749961853027,0.37841391563415533,0.254443883895874,0.20027804374694824,0.19323515892028809,0.26616001129150396,0.35982584953308105
