,Attempt,.,t,i,e,5,Key.shift,R,o,a,n,l,Key.enter
1,1.0,0.10935735702514648,0.10939478874206543,0.0781407356262207,0.06255912780761719,0.07812118530273438,0.23435640335083008,0.06252074241638184,0.0781247615814209,0.07809996604919434,0.07820248603820801,0.0781254768371582,0.07814383506774902
2,2.0,0.0781254768371582,0.109375,0.07805871963500977,0.0781254768371582,0.07842516899108887,0.2187485694885254,0.07816886901855469,0.078125,0.07810735702514648,0.07812237739562988,0.09376645088195801,0.07811784744262695
3,3.0,0.09375548362731934,0.10936927795410156,0.06249690055847168,0.09376955032348633,0.07813358306884766,0.23436832427978516,0.06250643730163574,0.0625159740447998,0.07813382148742676,0.10944223403930664,0.07811975479125977,0.09375
4,4.0,0.109375,0.0780484676361084,0.09373331069946289,0.0781545639038086,0.0625,0.26553940773010254,0.0781247615814209,0.09407973289489746,0.09375143051147461,0.07808732986450195,0.07813286781311035,0.07805705070495605
5,5.0,0.09374809265136719,0.09376168251037598,0.07813358306884766,0.0781254768371582,0.07808613777160645,0.2187497615814209,0.0781247615814209,0.07811570167541504,0.10938382148742676,0.07810401916503906,0.09378457069396973,0.09379386901855469
6,6.0,0.07811880111694336,0.09374094009399414,0.07819557189941406,0.09374523162841797,0.09375691413879395,0.2658970355987549,0.0781393051147461,0.0938272476196289,0.09377074241638184,0.07814598083496094,0.09375333786010742,0.06253290176391602
7,7.0,0.07808160781860352,0.09375119209289551,0.07813310623168945,0.06251907348632812,0.07813811302185059,0.28125572204589844,0.09377431869506836,0.09376025199890137,0.07813239097595215,0.07812619209289551,0.09386610984802246,0.07811188697814941
8,8.0,0.078125,0.0937502384185791,0.07804322242736816,0.07819962501525879,0.06250143051147461,0.29688334465026855,0.07815814018249512,0.09378266334533691,0.09370064735412598,0.0781257152557373,0.10936236381530762,0.09375739097595215
9,9.0,0.0937497615814209,0.07811617851257324,0.07816672325134277,0.0781252384185791,0.06251049041748047,0.3129761219024658,0.07860016822814941,0.07811689376831055,0.0625002384185791,0.09383559226989746,0.07811641693115234,0.09375905990600586
10,10.0,0.09383583068847656,0.09383606910705566,0.09415602684020996,0.09375286102294922,0.062491655349731445,0.4062492847442627,0.07812166213989258,0.07811546325683594,0.07813620567321777,0.07814216613769531,0.07819771766662598,0.07813358306884766
11,11.0,0.0937652587890625,0.09374427795410156,0.0937502384185791,0.07805919647216797,0.0762784481048584,0.2656245231628418,0.07811689376831055,0.0781254768371582,0.09381723403930664,0.07808876037597656,0.0937502384185791,0.0781254768371582
12,12.0,0.09367585182189941,0.109375,0.0937504768371582,0.07848191261291504,0.07811617851257324,0.28125905990600586,0.06250834465026855,0.0781257152557373,0.09375905990600586,0.09378552436828613,0.07814431190490723,0.09374094009399414
13,13.0,0.07811665534973145,0.09373807907104492,0.09375190734863281,0.06247973442077637,0.0937502384185791,0.21875953674316406,0.078125,0.07815384864807129,0.07811641693115234,0.09378981590270996,0.09374165534973145,0.07813405990600586
14,14.0,0.0781252384185791,0.09374165534973145,0.07813382148742676,0.0781247615814209,0.07811570167541504,0.20377540588378906,0.07880115509033203,0.07813358306884766,0.07820796966552734,0.0781252384185791,0.07810640335083008,0.0937492847442627
15,15.0,0.09375882148742676,0.07815241813659668,0.07810711860656738,0.062435150146484375,0.06251716613769531,0.23457741737365723,0.0782468318939209,0.07813358306884766,0.0780801773071289,0.0781245231628418,0.078125,0.09373188018798828
