,Attempt,.,t,i,e,5,Key.shift,R,o,a,n,l,Key.enter
1,1.0,0.08066606521606445,0.08404970169067383,0.09190082550048828,0.09999918937683105,0.08397197723388672,0.19196391105651855,0.11580395698547363,0.06403803825378418,0.10006189346313477,0.06790781021118164,0.06800508499145508,0.05605602264404297
2,2.0,0.08390021324157715,0.10445690155029297,0.09202265739440918,0.1082298755645752,0.07583808898925781,0.16780495643615723,0.1120450496673584,0.06819391250610352,0.11596798896789551,0.07192492485046387,0.07201313972473145,0.06004786491394043
3,3.0,0.0718538761138916,0.0879979133605957,0.07203412055969238,0.10414004325866699,0.07988905906677246,0.1679999828338623,0.11202001571655273,0.08807992935180664,0.10386514663696289,0.1044158935546875,0.08811497688293457,0.06838011741638184
4,4.0,0.06322193145751953,0.08398103713989258,0.07633519172668457,0.10804176330566406,0.06808090209960938,0.16796398162841797,0.11614203453063965,0.07594013214111328,0.11197400093078613,0.08384108543395996,0.08393502235412598,0.060221195220947266
5,5.0,0.07177877426147461,0.08022022247314453,0.08001875877380371,0.10409402847290039,0.07196593284606934,0.19578099250793457,0.11980485916137695,0.08002686500549316,0.10800695419311523,0.06799507141113281,0.07209205627441406,0.06410479545593262
6,6.0,0.06381797790527344,0.07605576515197754,0.07216429710388184,0.11546611785888672,0.0719461441040039,0.18000483512878418,0.12780284881591797,0.08009815216064453,0.12003779411315918,0.06406402587890625,0.05191493034362793,0.05599689483642578
7,7.0,0.06554198265075684,0.07990694046020508,0.06816983222961426,0.11608719825744629,0.07200503349304199,0.20385003089904785,0.12402582168579102,0.0800020694732666,0.14002203941345215,0.07194805145263672,0.04405403137207031,0.06008124351501465
8,8.0,0.07582998275756836,0.08806705474853516,0.06805300712585449,0.12021517753601074,0.07610511779785156,0.21996212005615234,0.13193821907043457,0.07614684104919434,0.11192202568054199,0.06415104866027832,0.06401491165161133,0.059992074966430664
9,9.0,0.06392192840576172,0.09200596809387207,0.05999302864074707,0.11589765548706055,0.07993912696838379,0.19985318183898926,0.14005017280578613,0.07599282264709473,0.11189985275268555,0.07599687576293945,0.06805562973022461,0.06006908416748047
10,10.0,0.0637969970703125,0.07593989372253418,0.08403301239013672,0.09991598129272461,0.0720372200012207,0.28775620460510254,0.1637587547302246,0.08010172843933105,0.12012791633605957,0.06810712814331055,0.07199597358703613,0.05613875389099121
11,11.0,0.06386899948120117,0.0921332836151123,0.07604074478149414,0.11585187911987305,0.07199215888977051,0.2799201011657715,0.14801526069641113,0.07226896286010742,0.10012388229370117,0.0720367431640625,0.07590579986572266,0.0639810562133789
12,12.0,0.06789088249206543,0.08801937103271484,0.06801509857177734,0.10794997215270996,0.07203793525695801,0.20404291152954102,0.10721492767333984,0.05993223190307617,0.11197400093078613,0.05201888084411621,0.06797480583190918,0.06002616882324219
13,13.0,0.06401896476745605,0.08392214775085449,0.07996225357055664,0.12396597862243652,0.07593393325805664,0.203887939453125,0.10780596733093262,0.06799101829528809,0.10782313346862793,0.0680546760559082,0.07194900512695312,0.059934139251708984
14,14.0,0.05966591835021973,0.07979393005371094,0.0761709213256836,0.10399103164672852,0.07197213172912598,0.19591236114501953,0.09598731994628906,0.07996726036071777,0.1201469898223877,0.07210183143615723,0.0720980167388916,0.059999942779541016
15,15.0,0.06777596473693848,0.0838468074798584,0.05994606018066406,0.1039118766784668,0.07906198501586914,0.20387792587280273,0.12398314476013184,0.0719602108001709,0.13203001022338867,0.08788681030273438,0.07597208023071289,0.06790781021118164
