attempt,'.','t','i','e','5',key.shift,'r','o','a','n','l',key.enter
1,0.0984659194946289,0.08867311477661133,0.09186410903930664,0.12426519393920898,0.08446216583251953,0.09671878814697266,0.015317678451538086,0.0803220272064209,0.12416696548461914,0.0880422592163086,0.11216616630554199,0.05236482620239258
2,0.10606002807617188,0.08458399772644043,0.0644080638885498,0.10797500610351562,0.07639193534851074,0.1115577220916748,0.016775846481323242,0.07966494560241699,0.12772893905639648,0.06839585304260254,0.10010910034179688,0.048483848571777344
3,0.0911858081817627,0.08057188987731934,0.06406903266906738,0.10033202171325684,0.05650496482849121,0.12824225425720215,0.00022912025451660156,0.06049013137817383,0.1237020492553711,0.07210803031921387,0.0920267105102539,0.04018831253051758
4,0.0936589241027832,0.0804128646850586,0.06810188293457031,0.0968008041381836,0.07216596603393555,0.06795501708984375,0.036154747009277344,0.06831598281860352,0.11249899864196777,0.08452796936035156,0.10045409202575684,0.05679607391357422
5,0.09907197952270508,0.07246708869934082,0.05252408981323242,0.1005098819732666,0.06064605712890625,0.10839509963989258,0.004569053649902344,0.06398224830627441,0.12451601028442383,0.07210493087768555,0.06831097602844238,0.04023599624633789
6,0.10373306274414062,0.06826496124267578,0.06012892723083496,0.11207795143127441,0.07229018211364746,0.11170315742492676,0.01723170280456543,0.0677030086517334,0.12387204170227051,0.08857989311218262,0.1042323112487793,0.05990791320800781
7,0.11031222343444824,0.08789396286010742,0.04812121391296387,0.10854601860046387,0.05623507499694824,0.08382916450500488,0.028018951416015625,0.0710761547088623,0.009397029876708984,0.07911229133605957,0.11617302894592285,0.06473398208618164
8,0.09031915664672852,0.08444595336914062,0.08044290542602539,0.0964510440826416,0.056946754455566406,0.07984709739685059,0.028562307357788086,0.09267687797546387,0.12332797050476074,0.08094310760498047,0.11609005928039551,0.05249190330505371
9,0.09796500205993652,0.08429408073425293,0.07203888893127441,0.10813593864440918,0.060517072677612305,0.09981012344360352,0.023947954177856445,0.06856298446655273,0.012042999267578125,0.07638669013977051,0.10843420028686523,0.0603330135345459
10,0.10172009468078613,0.0919961929321289,0.0603940486907959,0.10429787635803223,0.06849002838134766,0.10381221771240234,0.027643918991088867,0.08421206474304199,0.016017913818359375,0.08413481712341309,0.1126871109008789,0.060067176818847656
11,0.10219430923461914,0.06798887252807617,0.08051204681396484,0.11673808097839355,0.06403589248657227,0.08818316459655762,6.604194641113281e-05,0.09244418144226074,0.0197298526763916,0.07239413261413574,0.12008500099182129,0.0643310546875
12,0.10986018180847168,0.08839297294616699,0.06840705871582031,0.10426497459411621,0.07232785224914551,0.11586713790893555,0.0160677433013916,0.08820509910583496,0.027838945388793945,0.0681612491607666,0.11210227012634277,0.06018400192260742
13,0.10612201690673828,0.08467793464660645,0.06878495216369629,0.09247183799743652,0.07264995574951172,0.12438607215881348,0.008095026016235352,0.08063602447509766,0.13185715675354004,0.09653306007385254,0.11693787574768066,0.06441593170166016
14,0.10808992385864258,0.07207417488098145,0.06832385063171387,0.10393095016479492,0.048378944396972656,0.12872910499572754,0.0067729949951171875,0.0668630599975586,0.12819933891296387,0.08450818061828613,0.10785794258117676,0.060658931732177734
15,0.09426474571228027,0.08406400680541992,0.07671713829040527,0.10433506965637207,0.08389616012573242,0.11582708358764648,0.012400150299072266,0.07210803031921387,0.13610386848449707,0.08827710151672363,0.10805511474609375,0.06425690650939941
16,0.10177087783813477,0.08846902847290039,0.06814789772033691,0.12005281448364258,0.06453299522399902,0.11647891998291016,0.011850833892822266,0.06787490844726562,0.039711952209472656,0.040094852447509766,0.10837483406066895,0.08431005477905273
17,0.08721518516540527,0.11619997024536133,0.06011700630187988,0.10050797462463379,0.08048200607299805,0.09588003158569336,0.023899078369140625,0.06435298919677734,0.04402899742126465,0.0355687141418457,0.1164400577545166,0.04789400100708008
18,0.08954000473022461,0.07623600959777832,0.06059384346008301,0.10802602767944336,0.08852720260620117,0.11074995994567871,0.013042211532592773,0.06895709037780762,0.01964116096496582,0.056730031967163086,0.09613204002380371,0.060195207595825195
19,0.09862613677978516,0.08388829231262207,0.06488990783691406,0.11674284934997559,0.08432817459106445,0.08803820610046387,0.027910232543945312,0.07617473602294922,0.01988506317138672,0.0001430511474609375,0.11546087265014648,0.0600428581237793
20,0.0881340503692627,0.08889603614807129,0.06823492050170898,0.10089278221130371,0.06409001350402832,0.10396409034729004,0.027994155883789062,0.0680389404296875,0.019943952560424805,0.007750988006591797,0.0964212417602539,0.0602109432220459
21,0.09755396842956543,0.09213709831237793,0.059935808181762695,0.1089940071105957,0.08048486709594727,0.0959630012512207,0.003971099853515625,0.0636441707611084,0.019472837448120117,0.0076868534088134766,0.09628891944885254,0.06431102752685547
22,0.0937662124633789,0.0876150131225586,0.06435680389404297,0.10869717597961426,0.07228899002075195,0.11584806442260742,0.01591801643371582,0.07626795768737793,0.11618995666503906,0.05587363243103027,0.08835220336914062,0.04850578308105469
23,0.09786295890808105,0.1084139347076416,0.06865096092224121,0.10891914367675781,0.07218790054321289,0.15140080451965332,0.008304834365844727,0.0799710750579834,0.015604972839355469,0.01558232307434082,0.1486210823059082,0.0560450553894043
24,0.09047603607177734,0.08384299278259277,0.07263588905334473,0.12085413932800293,0.08396172523498535,0.11209297180175781,0.007630109786987305,0.06404685974121094,0.0440669059753418,0.04027390480041504,0.12385201454162598,0.052025794982910156
25,0.08859395980834961,0.09196186065673828,0.07182574272155762,0.11362314224243164,0.07227396965026855,0.1162717342376709,0.00011014938354492188,0.0846090316772461,0.02772831916809082,0.040255069732666016,0.1282181739807129,0.06450486183166504
26,0.09375905990600586,0.10046005249023438,0.07235026359558105,0.12031006813049316,0.08882808685302734,0.11995315551757812,0.028074026107788086,0.08822798728942871,0.1319441795349121,0.07226395606994629,0.1289680004119873,0.06451010704040527
27,0.08353686332702637,0.09577393531799316,0.08456993103027344,0.11400508880615234,0.08059811592102051,0.13582992553710938,6.031990051269531e-05,0.07266783714294434,0.015584945678710938,0.011947154998779297,0.12834525108337402,0.08061838150024414
28,0.09750008583068848,0.08519697189331055,0.07623791694641113,0.10805583000183105,0.07643795013427734,0.11257290840148926,0.02396082878112793,0.0038290023803710938,0.12056183815002441,0.011215925216674805,0.09303712844848633,0.10036516189575195
29,0.09866809844970703,0.09957289695739746,0.08006000518798828,0.11265778541564941,0.0764620304107666,0.1237637996673584,0.023637056350708008,0.08791995048522949,0.11992597579956055,0.07602381706237793,0.09664678573608398,0.06420707702636719
30,0.08896207809448242,0.09229373931884766,0.0731201171875,0.1241159439086914,0.08432936668395996,0.12006902694702148,0.016539812088012695,0.007845878601074219,0.09617114067077637,0.08426117897033691,0.11691904067993164,0.056327104568481445
